ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7520989,HS324316,05/23/2010 08:30:00 AM,006XX E GRAND AVE,0820,THEFT,$500 AND UNDER,OTHER,false,false,1834,018,42,8,06,1180796,1904058,2010,02/04/2016 06:33:39 AM,41.891990384,-87.611461502,"(41.891990384, -87.611461502)"
7520991,HS324322,05/24/2010 05:30:00 PM,023XX W 21ST ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,1223,012,25,31,08A,1161082,1890015,2010,02/04/2016 06:33:39 AM,41.853887391,-87.684252111,"(41.853887391, -87.684252111)"
7520992,HS324471,05/24/2010 07:05:00 PM,048XX W ADAMS ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1533,015,28,25,18,1144121,1898892,2010,02/04/2016 06:33:39 AM,41.87858197,-87.746283191,"(41.87858197, -87.746283191)"
7520993,HS324440,05/24/2010 05:30:00 PM,013XX W MONROE ST,0460,BATTERY,SIMPLE,PARK PROPERTY,false,false,1213,012,27,28,08B,1167489,1899680,2010,02/04/2016 06:33:39 AM,41.880273641,-87.660457997,"(41.880273641, -87.660457997)"
7520994,HS320841,05/21/2010 08:00:00 PM,011XX W MADISON ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,false,false,1212,012,2,28,05,1168591,1900183,2010,02/04/2016 06:33:39 AM,41.88163013,-87.656397026,"(41.88163013, -87.656397026)"
7520995,HS324422,05/24/2010 06:45:00 PM,100XX S EXCHANGE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0431,004,10,51,18,1197493,1838878,2010,02/04/2016 06:33:39 AM,41.712731562,-87.552317336,"(41.712731562, -87.552317336)"
7520996,HS324436,05/24/2010 03:30:00 PM,001XX E PEARSON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,PARK PROPERTY,false,false,1833,018,42,8,11,1177578,1906074,2010,02/04/2016 06:33:39 AM,41.897596067,-87.623218373,"(41.897596067, -87.623218373)"
7520997,HS324386,05/24/2010 06:24:00 PM,070XX S EMERALD AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,0732,007,6,68,08B,1172524,1858154,2010,02/04/2016 06:33:39 AM,41.766212611,-87.643194942,"(41.766212611, -87.643194942)"
7520998,HS324277,05/17/2010 08:00:00 AM,008XX W BUENA AVE,0810,THEFT,OVER $500,OTHER,false,false,2322,019,46,3,06,1169515,1928188,2010,02/04/2016 06:33:39 AM,41.958457273,-87.652187364,"(41.958457273, -87.652187364)"
7520999,HS324273,05/23/2010 10:45:00 PM,007XX N LA SALLE DR,1570,SEX OFFENSE,PUBLIC INDECENCY,SIDEWALK,false,false,1832,018,42,8,17,1175002,1905461,2010,02/04/2016 06:33:39 AM,41.895972081,-87.632698003,"(41.895972081, -87.632698003)"
